company_id,created_date
"e2f8655832e1c01","2019-11-25"
".291740fb9d7fd93","2019-08-08"
"8cf46e8081d4481","2019-09-19"
"39ad5a597838fda","2019-11-25"
"5e8d067d3a77bba","2019-09-16"
"4d92f045a10b363","2019-10-15"
"5beeb7addea35da","2019-07-19"
"2f0fce77d5478e5","2019-09-05"
"3cff153a69684fa","2019-10-07"
"4cb298a66a822e3","2019-07-23"
"bdd4c63686ca483","2019-07-25"
"f4345cbe742bdc5","2019-09-26"
"dd8b926f75d9202","2019-09-18"
"4b10c8eb0822de6","2019-11-04"
"3584c63654edcbb","2019-09-16"
"38c1520645b25ad","2019-10-03"
"968d8ef5824e21e","2019-08-16"
"06135faed9d1dbc","2019-07-11"
"afe59c093546670","2019-07-24"
"12c3e761194ccaa","2019-09-17"
"a4cfa7b903a8cee","2019-10-02"
"4875e6447433e2e","2019-07-23"
"706fd27fe27ac1f","2019-12-20"
"44a4473ec5aebb8","2019-07-03"
"1fb0689fda4cf7c","2019-10-29"
"67bd1e83e59788e","2019-08-29"
"4f2e972bdde107b","2019-09-24"
"28f969ed0bf45ae","2019-09-10"
"1189d0ebd6a6a2e","2019-11-07"
"15e7ecbd522a96b","2019-08-29"
"977c134b50e6e6f","2019-12-23"
"999ca2c6358401b","2019-11-25"
"bd1d7b5acb5f2fe","2019-12-18"
"df54071845fb495","2019-11-14"
"eb54223fe737b47","2019-08-16"
"0c6d707f9b60ed0","2019-11-18"
"364b9df7537be5f","2019-08-29"
"788a7eb0f2527b7","2019-09-16"
"6f12757eb9ec57b","2019-08-21"
"93c8a694f6c0d39","2019-08-13"
"8d031bf0624987b","2019-09-06"
"563bb8e8ba54367","2019-08-02"
"89704ec3945faed","2019-10-25"
"ee742b8287a5210","2019-07-01"
"009d69985f395a6","2019-10-31"
"e613cd71575e6e6","2019-07-12"
"21e1cc9b291748b","2019-11-12"
"088a09d09a89699","2019-09-03"
"406620a47aade9c","2019-09-09"
"ec7a4eece003506","2019-07-08"
"a3b87ec3c429284","2019-11-01"
"c1913c4a9f483a2","2019-10-23"
"c513d9315a593d8","2019-08-22"
"d502f4f5eafdad4","2019-08-14"
"28655c5a1ed9815","2019-10-15"
"3bb327a4b45ca7b","2019-11-15"
"d953b0cca81a0f0","2019-10-15"
"d2ee1a73b48251d","2019-09-25"
"f9d9a4c6265fdab","2019-07-30"
"3c4d71ed9b84edf","2019-07-19"
"b27818ec30e2328","2019-12-16"
"0ddc22c4aad87ff","2019-11-26"
"78a1be062926c24","2019-08-06"
"f79946e3c6f885b","2019-08-19"
"4a91354ec5ba912","2019-09-06"
"a2b03c77830b418","2019-10-21"
"71f6c5ab1a0804e","2019-08-28"
"10d2e2da7fb39aa","2019-09-09"
"b00dbd9bfd46b19","2019-11-13"
"99dce54c1fbd461","2019-07-11"
"c033f75538f9930","2019-09-03"
"1d8aba95f8d20d3","2019-09-23"
"a7be46bb615d10b","2019-09-27"
"ed32435114625b6","2019-07-02"
"2952a3d5a77502b","2019-11-26"
"814ff754918c09e","2019-08-07"
"ff19e908ece5dca","2019-07-19"
"05ad041aaa3e509","2019-09-03"
"db36f3547136d91","2019-08-12"
"0e13a934672784f","2019-09-03"
"b03475aa75c70d0","2019-12-13"
"87a2889d4dab103","2019-07-24"
"1d96fc9e50eb1fb","2019-08-21"
"288e23099e7913d","2019-07-01"
"2b61c98ee95e8fd","2019-09-12"
"f5039511ecce0dc","2019-08-28"
"4b6bb4a770ee1c7","2019-10-11"
"cb1223b84194442","2019-10-16"
"e9a066a75898b51","2019-10-17"
"31f493ece63a295","2019-08-21"
"979998639962e79","2019-11-28"
"d035a1a6f5747da","2019-12-12"
"bb8ec63bfcdac73","2019-09-11"
"02323544840a539","2019-08-13"
"0eb366d5e7d442b","2019-11-11"
"43c70cad25f7163","2019-08-02"
"0594a4dd457488d","2019-10-10"
"0899cc027c8afd0","2019-09-20"
"19912852239db44","2019-07-02"
"a4c4cf6050d8bc0","2019-07-24"
"8d818a469db247b","2019-10-07"
"9ca90979202501c","2019-12-12"
"9d25e9d93739049","2019-10-02"
"d92cfeba1499df8","2019-09-20"
"0a45b7b900a96e2","2019-07-25"
"866f462c313ab53","2019-07-15"
"a6115ff33297932","2019-08-02"
"43bd513049615fe","2019-12-19"
"67d5a017d75591c","2019-12-20"
"2498c7a70245b3f","2019-08-29"
"128a07111257e95","2019-12-06"
"e7830545a646c8c","2019-09-13"
"fd1b087be9b9cf4","2019-07-24"
"557592840dd7974","2019-10-02"
"2a7534305fa6c9e","2019-08-12"
"16d872d0c0f77df","2019-10-01"
"dfa5de86f0c7d32","2019-10-28"
"9f88676a404c7df","2019-07-15"
"18784490fa504e5","2019-12-11"
"32b9e8144239003","2019-07-17"
"48ce9dbc2401569","2019-09-11"
"519f302db801112","2019-07-26"
"8168f7450044334","2019-07-09"
"6b2a6b4ff7cc678","2019-08-09"
"bfe0cfd6687c509","2019-07-17"
"3075fdcd6d52a17","2019-12-06"
"31625ce9443622a","2019-08-16"
"8e7ddd118e7320b","2019-12-26"
"93c8a694f6c0d39","2019-08-09"
"1a42a6aea0845f7","2019-12-04"
"903eb4c20289b59","2019-07-17"
"ef1795e40329047","2019-07-15"
"f18ad732a026467","2019-09-12"
"f91f7a39aa58a01","2019-09-25"
"e020634fa4f0a76","2019-11-25"
"f3857baa36247f4","2019-09-09"
"575056a28bfe807","2019-09-17"
"5d4cfa0ecb376bd","2019-10-08"
"aff2f237cceca4b","2019-08-12"
"bac8f931a77341e","2019-10-17"
"ebdd34bfa981d55","2019-07-22"
"6f10f1c8ca89ed9","2019-07-25"
"8d6c1693920fd4c","2019-09-27"
"5a686ed65af22dc","2019-10-11"
"6d0b63be51a7969","2019-08-01"
"d17b4ae4cb025c5","2019-11-15"
"d651f0b1f3fc45d","2019-11-25"
"afa8fe7593d20b5","2019-08-29"
"afa8fe7593d20b5","2019-12-12"
"3f2c18adac77a80","2019-11-20"
"4c3ba913347844c","2019-10-10"
"b27818ec30e2328","2019-10-23"
"ee4b7e48aac1680","2019-07-09"
"788561f1d9a9af6","2019-07-04"
"d783f5879d48694","2019-07-09"
"47a06d4620c25f1","2019-11-21"
"d72edcc0aa9705a","2019-11-19"
"cb314dd771b665c","2019-12-03"
"158367b3d6d2a82","2019-12-16"
"c092e70743f623c","2019-07-17"
"55ec7b1368f1988","2019-07-16"
